Source population,Target population,Synaptic type,Conduction times Min,Conduction times Max,No. of terminals,Synaptic strength,Source pop. N,Target pop. N,Divergence,Mean no. of terminals,Convergence
I-Driver,I-Dec,ex_1,2,6,100,0.006,300,300,84.99 ± 3.14,1.18,84.99 ± 7.54
I-Driver,I-Aug,ex_1,2,6,100,0.01,300,300,84.93 ± 3.00,1.18,84.93 ± 7.73
I-Driver,I-Driver,ex_1,0,4,50,0.003,300,300,46.34 ± 1.76,1.08,46.34 ± 5.84
E-Dec-Phasic,I-Driver,inh_22,2,6,50,0.03,300,300,46.16 ± 1.77,1.08,46.16 ± 9.24
E-Dec-Phasic,E-Aug-early,inh_4,0,2,150,0.012,300,300,118.24 ± 4.01,1.27,118.24 ± 8.86
E-Dec-Phasic,E-Aug-late,inh_4,2,4,150,0.04,300,300,118.10 ± 3.94,1.27,118.10 ± 9.61
E-Dec-Phasic,VRC-IE,inh_4,0,2,50,0.1,300,99,39.33 ± 2.31,1.27,119.18 ± 7.22
E-Dec-Phasic,I-Dec,inh_4,0,2,200,0.2,300,300,146.07 ± 4.42,1.37,146.07 ± 8.71
E-Dec-Phasic,I-Aug-BS,inh_4,2,6,100,0.15,300,300,85.21 ± 3.08,1.17,85.21 ± 7.27
E-Dec-Phasic,I-Aug,inh_4,2,6,50,0.1,300,300,46.19 ± 1.72,1.08,46.19 ± 5.43
E-Dec-Phasic,rostral IE-pons,ex_13,2,4,100,0.001,300,100,63.13 ± 2.98,1.58,189.39 ± 6.74
E-Dec-Phasic,caudal IE-pons,ex_13,2,4,100,0.001,300,100,63.23 ± 3.19,1.58,189.70 ± 9.56
E-Dec-Phasic,I-Dec_2,inh_4,2,6,150,0.1,300,300,118.39 ± 4.42,1.27,118.39 ± 8.69
E-Dec-Phasic,E-Aug (+),inh_4,2,6,100,0.03,300,300,85.18 ± 2.99,1.17,85.18 ± 10.46
E-Dec-Phasic,E-Aug-Cough (−),inh_22,2,6,100,0.025,300,300,85.20 ± 3.05,1.17,85.20 ± 9.59
I-Dec,E-Aug-early,inh_7,2,6,115,0.5,300,300,95.67 ± 3.39,1.2,95.67 ± 7.14
